"id_amortizacion","id_credito","num_cuota","saldo_total","monto_cuota","saldo_exigible","estado","fecha_cuota","fecha_pago","monto_seguro","pais","estatus","cuota_moneda","exigible_moneda","tasa","numero_periodos","score_hit","score_no_hit","valor_financiamiento","prima","accesorios"
3,SV0000006,"1 ",186.71,23.34,23.34,Vencido,2024-08-18,,,El Salvador,,23.34,23.34,4.3000,8,0,427,92.00,23.00,0.00
4,SV0000009,"1 ",170.48,21.31,,Pagado Retraso,2024-08-18,2024-08-24,,El Salvador,,21.31,,4.3000,8,0,388,84.00,21.00,0.00
6,HN0000010,"1 ",392.01,32.67,,Pagado a Tiempo,2024-08-22,2024-08-22,,Honduras,,816.69,,4.1500,12,0,489,3928.20,919.80,249.00
12,HN0000011,"1 ",325.36,27.11,,Pagado Retraso,2024-08-21,2024-08-24,,Honduras,,677.84,,3.5000,12,0,707,3647.20,799.80,448.00
14,SV0000021,"1 ",163.84,20.48,,Pagado Retraso,2024-08-21,2024-08-22,,El Salvador,,20.48,,4.0000,8,0,663,84.00,21.00,0.00
16,HN0000012,"1 ",206.95,25.87,,Pagado a Tiempo,2024-08-22,2024-08-21,,Honduras,,646.71,,4.1500,8,0,595,2600.00,650.00,0.00
17,HN0000016,"1 ",206.95,25.87,,Pagado Retraso,2024-08-22,2024-08-28,,Honduras,,646.71,,4.1500,8,0,459,2600.00,650.00,0.00
19,SV0000034,"1 ",230.83,28.85,28.85,Vencido,2024-08-22,,,El Salvador,,28.85,28.85,4.1500,8,0,572,116.00,24.00,20.00
20,HN0000013,"1 ",429.93,35.83,35.83,Vencido,2024-08-22,,,Honduras,,895.69,895.69,4.1500,12,0,489,4308.20,1039.80,149.00
21,SV0000033,"1 ",727.80,45.49,,Pagado Retraso,2024-08-22,2024-08-28,,El Salvador,,45.49,,4.0000,16,0,651,245.60,61.40,0.00
22,HN0000015,"1 ",439.11,27.44,,Pagado Retraso,2024-08-22,2024-09-08,,Honduras,,686.11,,4.1500,16,0,458,3599.20,899.80,0.00
23,SV0000032,"1 ",120.24,15.03,15.03,Vencido,2024-08-22,,,El Salvador,,15.03,15.03,1.6000,8,751,0,88.80,22.20,0.00
26,SV0000036,"1 ",250.76,15.67,15.67,Vencido,2024-08-23,,,El Salvador,,15.67,15.67,3.5000,16,613,0,93.60,23.40,0.00
27,HN0000021,"1 ",211.07,26.38,,Pagado Retraso,2024-08-23,2024-09-02,,Honduras,,659.59,,4.3000,8,0,422,2600.00,650.00,0.00
28,SV0000037,"1 ",297.38,18.59,,Pagado Retraso,2024-08-23,2024-09-08,,El Salvador,,18.59,,3.5000,16,594,0,111.00,24.00,15.00
29,HN0000025,"1 ",206.95,25.87,25.87,Vencido,2024-08-23,,,Honduras,,646.71,646.71,4.1500,8,0,563,2600.00,650.00,0.00
30,HN0000017,"1 ",206.95,25.87,,Pagado Retraso,2024-08-23,2024-08-28,,Honduras,,646.71,,4.1500,8,0,459,2600.00,650.00,0.00
32,HN0000020,"1 ",194.45,194.45,,Pagado a Tiempo,2024-08-25,2024-08-25,,Honduras,,4861.26,,4.1500,8,0,495,2792.00,598.00,400.00
